epoch,loss_type,smooth_lddt_weight,total_loss,global_mse,local_angle_mae
1,af3,1.0,2.9954966008663177,9.947754006134346e-05,1.4685039520263672
2,af3,1.0,2.6659436225891113,0.00010316976840840653,1.4999951124191284
3,af3,1.0,2.657474398612976,0.00010464923252584413,1.4817922115325928
4,af3,1.0,2.186206042766571,0.00010535411274759099,1.4702144861221313
5,af3,1.0,2.197074741125107,0.00011356823961250484,1.465639352798462
6,af3,1.0,1.6073213666677475,0.00013224616122897714,1.4873359203338623
7,af3,1.0,2.2110155522823334,0.00017162665608339012,1.453256368637085
8,af3,1.0,1.5375684201717377,0.00021970632951706648,1.5591827630996704
9,af3,1.0,1.4780978113412857,0.00024049099010881037,1.4849438667297363
10,af3,1.0,1.3019863218069077,0.00027791669708676636,1.5069705247879028
11,af3,1.0,1.2666158229112625,0.00032332129194401205,1.497323989868164
12,af3,1.0,1.1351080909371376,0.00037442008033394814,1.5087873935699463
13,af3,1.0,1.2801810801029205,0.00039739697240293026,1.5053783655166626
14,af3,1.0,1.132264956831932,0.0004002633213531226,1.502152681350708
15,af3,1.0,1.063353881239891,0.00038663818850181997,1.486631155014038
16,af3,1.0,0.9385538250207901,0.0004059144121129066,1.4621130228042603
17,af3,1.0,0.9055323824286461,0.0003890702500939369,1.495513677597046
18,af3,1.0,0.9174205809831619,0.0003765676519833505,1.4560091495513916
19,af3,1.0,0.9207921251654625,0.00036713937879540026,1.4854058027267456
20,af3,1.0,0.9600544199347496,0.0003274552582297474,1.467126488685608
21,af3,1.0,0.9002970308065414,0.0003184102533850819,1.4211468696594238
22,af3,1.0,0.8557723239064217,0.0002676490694284439,1.4078484773635864
23,af3,1.0,0.8473180010914803,0.00023990705085452646,1.479519009590149
24,af3,1.0,0.8629746213555336,0.0002135313698090613,1.4825347661972046
25,af3,1.0,0.8895026817917824,0.0002033672499237582,1.5045031309127808
26,af3,1.0,0.8774570748209953,0.00020239163131918758,1.4966799020767212
27,af3,1.0,0.8535853251814842,0.00017641950398683548,1.4751126766204834
28,af3,1.0,0.8248482048511505,0.0001704423048067838,1.4751527309417725
29,af3,1.0,0.7761907950043678,0.00015700369840487838,1.4642034769058228
30,af3,1.0,0.853517159819603,0.00014751922572031617,1.4843429327011108
31,af3,1.0,0.8386745750904083,0.0001371124672004953,1.454644799232483
32,af3,1.0,0.7976328507065773,0.0001293860113946721,1.4284255504608154
33,af3,1.0,0.8309232890605927,0.00013431024854071438,1.417807698249817
34,af3,1.0,0.8010225296020508,0.00013290841889102012,1.4767916202545166
35,af3,1.0,0.8412513732910156,0.00012648399570025504,1.4315776824951172
36,af3,1.0,0.8652840852737427,0.00012287686695344746,1.3991488218307495
37,af3,1.0,0.8498327881097794,0.0001222240534843877,1.480188012123108
38,af3,1.0,0.8407886698842049,0.00011518222891027108,1.4447453022003174
39,af3,1.0,0.8201973959803581,0.00012575423170346767,1.437142252922058
40,af3,1.0,0.8527871668338776,0.00011757206812035292,1.4489399194717407
41,af3,1.0,0.8579714372754097,0.00011486471339594573,1.4871972799301147
42,af3,1.0,0.8269063755869865,0.00011468360025901347,1.4197540283203125
43,af3,1.0,0.8205783069133759,0.0001193595162476413,1.47844660282135
44,af3,1.0,0.8587940111756325,0.00011886111315106973,1.4694050550460815
45,af3,1.0,0.827506922185421,0.00012039511784678325,1.494153380393982
46,af3,1.0,0.83521468937397,0.00011976763926213607,1.5246902704238892
47,af3,1.0,0.8410169780254364,0.00011862915562232956,1.4755581617355347
48,af3,1.0,0.815816268324852,0.00011669054219964892,1.4109033346176147
49,af3,1.0,0.782486654818058,0.0001157686929218471,1.4865391254425049
50,af3,1.0,0.8089389055967331,0.00011819699284387752,1.431296706199646
51,af3,1.0,0.7867900431156158,0.00011489951430121437,1.4523454904556274
52,af3,1.0,0.8078529834747314,0.00012071525270584971,1.4971630573272705
53,af3,1.0,0.8495493829250336,0.00012290749873500317,1.4819849729537964
54,af3,1.0,0.8221726268529892,0.00011847417772514746,1.4629900455474854
55,af3,1.0,0.8053056597709656,0.00011020273086614907,1.4806885719299316
56,af3,1.0,0.8407968208193779,0.00010760690929600969,1.4302984476089478
57,af3,1.0,0.8553242459893227,0.00011475834617158398,1.452057123184204
58,af3,1.0,0.837500624358654,0.00011452856415417045,1.4844110012054443
59,af3,1.0,0.7815584242343903,0.00011092306522186846,1.4962650537490845
60,af3,1.0,0.8745504468679428,0.00011513387289596722,1.4415963888168335
61,af3,1.0,0.8727327808737755,0.00011790438293246552,1.4804824590682983
62,af3,1.0,0.8466136381030083,0.00011400649236747995,1.4566552639007568
63,af3,1.0,0.8206508383154869,0.000121893739560619,1.4855669736862183
64,af3,1.0,0.8173919394612312,0.00011551687202882022,1.4469130039215088
65,af3,1.0,0.8815816044807434,0.0001149499585153535,1.479551911354065
66,af3,1.0,0.8148923292756081,0.00011693596752593294,1.4423186779022217
67,af3,1.0,0.8284533992409706,0.00011944122525164858,1.5334845781326294
68,af3,1.0,0.8651514649391174,0.00011659689334919676,1.4748427867889404
69,af3,1.0,0.8095250427722931,0.00011637096758931875,1.480896234512329
70,af3,1.0,0.7926166877150536,0.00011359963536961004,1.4731502532958984
71,af3,1.0,0.8308879658579826,0.00011849679867736995,1.5074353218078613
72,af3,1.0,0.8302443251013756,0.00011084658763138577,1.4778236150741577
73,af3,1.0,0.8476032242178917,0.00011605104373302311,1.4530123472213745
74,af3,1.0,0.8104205131530762,0.000118580850539729,1.4995089769363403
75,af3,1.0,0.8166168034076691,0.00011165307660121471,1.4652690887451172
76,af3,1.0,0.8346314951777458,0.00011676290887407959,1.4548249244689941
77,af3,1.0,0.809980683028698,0.0001110731391236186,1.4599205255508423
78,af3,1.0,0.8673342391848564,0.00011713413550751284,1.4349737167358398
79,af3,1.0,0.8493014350533485,0.00011497220111778006,1.4358071088790894
80,af3,1.0,0.8403071165084839,0.00011813311721198261,1.4713317155838013
81,af3,1.0,0.8423301577568054,0.00011179723514942452,1.538596510887146
82,af3,1.0,0.8009629994630814,0.00011081522097811103,1.4466015100479126
83,af3,1.0,0.8195904567837715,0.00011751581041608006,1.4711750745773315
