epoch,loss_type,smooth_lddt_weight,total_loss,global_mse,local_angle_mae
1,edm,1.0,7.809662044048309,9.76955852820538e-05,1.4445931911468506
2,edm,1.0,8.076167047023773,0.00010520278010517359,1.4186925888061523
3,edm,1.0,7.524808645248413,0.00010112862946698442,1.4657080173492432
4,edm,1.0,6.343141674995422,0.00010856004519155249,1.485546350479126
5,edm,1.0,5.708150327205658,0.00011972429638262838,1.444771647453308
6,edm,1.0,4.475647211074829,0.00016573462926317006,1.501976490020752
7,edm,1.0,3.991186887025833,0.00023142702411860228,1.4967803955078125
8,edm,1.0,3.791667491197586,0.0002571385120972991,1.447356939315796
9,edm,1.0,3.580769121646881,0.00021516559354495257,1.4831883907318115
10,edm,1.0,3.2748962342739105,0.00023251234961207956,1.4834469556808472
11,edm,1.0,3.1931237876415253,0.00023032492026686668,1.505155324935913
12,edm,1.0,3.148613154888153,0.00021399013348855078,1.5037052631378174
13,edm,1.0,2.7070952355861664,0.00018429300689604133,1.4909451007843018
14,edm,1.0,2.5381799936294556,0.0001671872305450961,1.4798226356506348
15,edm,1.0,2.3692195415496826,0.0001393475686199963,1.423579216003418
16,edm,1.0,2.208321750164032,0.000134765898110345,1.484253168106079
17,edm,1.0,2.124986231327057,0.00012470468936953694,1.4400511980056763
18,edm,1.0,2.014939248561859,0.0001282363518839702,1.490376591682434
19,edm,1.0,2.1154348850250244,0.00011487895244499668,1.4435549974441528
20,edm,1.0,2.0926657617092133,0.00011425297270761803,1.4727482795715332
21,edm,1.0,2.0479589700698853,0.00011014554183930159,1.4904088973999023
22,edm,1.0,2.149907484650612,0.00011336206807754934,1.4983266592025757
23,edm,1.0,1.9795420169830322,0.0001074118772521615,1.429750919342041
24,edm,1.0,1.9731117188930511,0.00010345171904191375,1.504862666130066
25,edm,1.0,1.9657533764839172,0.00010738836135715246,1.4717603921890259
26,edm,1.0,1.9714740365743637,0.00010893803846556693,1.5096272230148315
27,edm,1.0,1.9531907737255096,0.00010872942948481068,1.4379961490631104
28,edm,1.0,2.0888951271772385,0.00010456917516421527,1.4662615060806274
29,edm,1.0,1.9577426761388779,0.00010931489669019356,1.4781124591827393
30,edm,1.0,1.9105699807405472,0.00010518798080738634,1.5022956132888794
31,edm,1.0,1.9532621502876282,0.00010653814388206229,1.4374266862869263
32,edm,1.0,1.9120994210243225,0.00010378794831922278,1.4471707344055176
33,edm,1.0,1.9941049367189407,0.00011265066132182255,1.4853734970092773
34,edm,1.0,1.8591929078102112,0.00010277640103595331,1.4721224308013916
35,edm,1.0,1.9317194819450378,0.00010624249989632517,1.4666998386383057
36,edm,1.0,1.8984628915786743,0.00010440302867209539,1.4477938413619995
37,edm,1.0,1.9236306995153427,0.00010670752817532048,1.4740431308746338
38,edm,1.0,1.8607151359319687,0.00010632447811076418,1.4767415523529053
39,edm,1.0,1.9470835626125336,0.00010226091399090365,1.462146282196045
40,edm,1.0,1.8176382929086685,0.00010239357652608305,1.4318526983261108
41,edm,1.0,1.8611947298049927,0.00010480194032425061,1.4677071571350098
42,edm,1.0,1.8566458225250244,0.00010035136801889166,1.430955171585083
43,edm,1.0,1.8939338773488998,0.0001019272385747172,1.508138656616211
44,edm,1.0,1.8540531694889069,0.00010310107609257102,1.4829720258712769
45,edm,1.0,1.9206058233976364,9.761834371602163e-05,1.4840890169143677
46,edm,1.0,1.8673069328069687,9.989356476580724e-05,1.4673962593078613
47,edm,1.0,1.8378051221370697,0.00010371076496085152,1.451564908027649
48,edm,1.0,1.8898473978042603,0.0001044873206410557,1.474627137184143
49,edm,1.0,1.8824584037065506,0.00010429765825392678,1.5039422512054443
50,edm,1.0,1.9226901531219482,0.00010558069334365427,1.4958361387252808
51,edm,1.0,1.8829242289066315,0.0001022398573695682,1.501076579093933
52,edm,1.0,1.8616989254951477,9.702277748147026e-05,1.480680227279663
53,edm,1.0,1.8400510251522064,0.00010114077304024249,1.439965844154358
54,edm,1.0,1.903333693742752,0.00010293981176801026,1.4976236820220947
55,edm,1.0,1.873095914721489,9.770525502972305e-05,1.4698264598846436
56,edm,1.0,1.8673897683620453,0.00010021324851550162,1.4516797065734863
57,edm,1.0,1.8750974833965302,0.00010511546861380339,1.4740393161773682
58,edm,1.0,1.8737473338842392,0.00010284993913955986,1.4515360593795776
59,edm,1.0,1.8739379048347473,0.00010613865742925555,1.5003067255020142
60,edm,1.0,1.8653347045183182,0.00010022634523920715,1.4216057062149048
61,edm,1.0,1.908179521560669,0.00010099459905177355,1.4839749336242676
62,edm,1.0,1.820483073592186,0.00010411544644739479,1.4564260244369507
63,edm,1.0,1.8526792079210281,9.877059346763417e-05,1.514283299446106
64,edm,1.0,1.879634216427803,0.00010220598051091656,1.512978434562683
65,edm,1.0,1.829588621854782,0.00010266525350743905,1.4309087991714478
66,edm,1.0,1.864252120256424,0.00010161455429624766,1.461003065109253
67,edm,1.0,1.8675580620765686,9.791211050469428e-05,1.4451431035995483
68,edm,1.0,1.9056280106306076,9.451415098737925e-05,1.4822884798049927
69,edm,1.0,1.842891901731491,9.56926160142757e-05,1.5136080980300903
70,edm,1.0,1.8814223110675812,9.809976472752169e-05,1.515769362449646
71,edm,1.0,1.883887231349945,9.984863572753966e-05,1.4594372510910034
72,edm,1.0,1.8650747537612915,0.00010185202700085938,1.41001296043396
73,edm,1.0,1.8758877962827682,9.87289531622082e-05,1.4996193647384644
74,edm,1.0,1.8798371404409409,0.00010228928294964135,1.4694900512695312
75,edm,1.0,1.8377635031938553,9.962317562894896e-05,1.5039199590682983
76,edm,1.0,1.9099116027355194,9.938040602719411e-05,1.4736294746398926
77,edm,1.0,1.8577400892972946,0.00010618632222758606,1.4667043685913086
78,edm,1.0,1.8072602450847626,0.00010084196401294321,1.4648246765136719
79,edm,1.0,1.801505595445633,9.689346916275099e-05,1.476819634437561
80,edm,1.0,1.841314285993576,9.900100121740252e-05,1.4323586225509644
81,edm,1.0,1.802900567650795,9.739628148963675e-05,1.482627511024475
82,edm,1.0,1.8099497258663177,0.00010302254668204114,1.4638854265213013
83,edm,1.0,1.8468474596738815,9.694691834738478e-05,1.4526230096817017
84,edm,1.0,1.8049689382314682,0.00010387816291768104,1.4695801734924316
85,edm,1.0,1.817821979522705,9.885820327326655e-05,1.4633123874664307
86,edm,1.0,1.82015261054039,0.00010453581489855424,1.4968523979187012
87,edm,1.0,1.8286778777837753,0.00010151030437555164,1.474234938621521
88,edm,1.0,1.83004991710186,0.00010225249570794404,1.465579628944397
89,edm,1.0,1.835403949022293,9.597392636351287e-05,1.4739320278167725
90,edm,1.0,1.8184175044298172,9.55837604124099e-05,1.455644965171814
91,edm,1.0,1.8403538316488266,0.00010094168101204559,1.4785468578338623
92,edm,1.0,1.8914001286029816,9.763292473508045e-05,1.4713706970214844
93,edm,1.0,1.8326045721769333,9.876627154881135e-05,1.47916841506958
94,edm,1.0,1.7967500686645508,0.00010155670315725729,1.4501649141311646
95,edm,1.0,1.8337697088718414,9.991489787353203e-05,1.4764995574951172
96,edm,1.0,1.7908144742250443,0.00010500806092750281,1.4741686582565308
97,edm,1.0,1.7961671352386475,9.943259647116065e-05,1.4748247861862183
98,edm,1.0,1.8182155936956406,0.0001010683918138966,1.4878695011138916
99,edm,1.0,1.7939576506614685,0.00010254596418235451,1.5015789270401
100,edm,1.0,1.7506631910800934,9.716502972878516e-05,1.4710679054260254
101,edm,1.0,1.8008901327848434,0.00010051677963929251,1.4856820106506348
102,edm,1.0,1.7966648042201996,9.549615788273513e-05,1.4419883489608765
103,edm,1.0,1.8537050932645798,9.694516484159976e-05,1.4481350183486938
104,edm,1.0,1.7851302772760391,0.00010417915473226458,1.499199628829956
105,edm,1.0,1.8004805147647858,0.00010414035932626575,1.4210238456726074
106,edm,1.0,1.7289950549602509,9.950877574738115e-05,1.4794596433639526
107,edm,1.0,1.7898097336292267,9.698838402982801e-05,1.4770971536636353
108,edm,1.0,1.7514077574014664,0.00010197152732871473,1.4598584175109863
109,edm,1.0,1.7842006981372833,0.00010013204155256972,1.4792028665542603
110,edm,1.0,1.8017414808273315,0.00010196069342782721,1.4938256740570068
111,edm,1.0,1.7819833755493164,9.787358430912718e-05,1.4522126913070679
112,edm,1.0,1.6959221363067627,9.605584637029096e-05,1.4475427865982056
113,edm,1.0,1.8437159210443497,0.00010009272955358028,1.4570673704147339
114,edm,1.0,1.7290980815887451,0.00010620049579301849,1.456525444984436
115,edm,1.0,1.7452391684055328,9.913500252878293e-05,1.4739246368408203
116,edm,1.0,1.7364303171634674,0.00010456602467456833,1.4577752351760864
117,edm,1.0,1.7352808564901352,0.00010619615204632282,1.485897183418274
118,edm,1.0,1.7904231995344162,9.675141336629167e-05,1.446868896484375
119,edm,1.0,1.762425646185875,9.811360359890386e-05,1.4177401065826416
120,edm,1.0,1.726393774151802,0.00010213326459052041,1.4516372680664062
121,edm,1.0,1.7427161782979965,9.830709313973784e-05,1.4595072269439697
122,edm,1.0,1.7721674591302872,9.958257578546181e-05,1.3998322486877441
123,edm,1.0,1.7184340804815292,0.00010042751091532409,1.5111252069473267
124,edm,1.0,1.7202597111463547,0.000100010605819989,1.46920645236969
125,edm,1.0,1.7409061938524246,9.870179928839207e-05,1.4918814897537231
126,edm,1.0,1.7485518604516983,0.00010015723819378763,1.470430612564087
127,edm,1.0,1.7229284942150116,0.00010100541112478822,1.480123519897461
128,edm,1.0,1.73030287027359,0.00010541497613303363,1.4530389308929443
129,edm,1.0,1.7210792899131775,0.00010407561785541475,1.4723702669143677
130,edm,1.0,1.7655702978372574,0.00010015066800406203,1.475696325302124
131,edm,1.0,1.6937818378210068,9.978809976018965e-05,1.4132438898086548
132,edm,1.0,1.7504169791936874,9.89766776910983e-05,1.4789239168167114
133,edm,1.0,1.7184575647115707,9.906119521474466e-05,1.4859848022460938
134,edm,1.0,1.7253221273422241,0.00010294708772562444,1.5243725776672363
135,edm,1.0,1.7157697826623917,0.00010173375630984083,1.509460210800171
136,edm,1.0,1.7624530494213104,9.911476081470028e-05,1.4431360960006714
137,edm,1.0,1.7194517701864243,0.00010125229164259508,1.4449201822280884
138,edm,1.0,1.7323802411556244,9.556126315146685e-05,1.4705880880355835
139,edm,1.0,1.731527715921402,0.00010656799713615328,1.4774792194366455
